run,system,dimension,stratum,n,successes,stsr
confirmatory,A,module,billing,30,0,0.0
confirmatory,A,module,contacts,30,0,0.0
confirmatory,A,module,crm,90,0,0.0
confirmatory,A,module,inventory,30,0,0.0
confirmatory,A,module,product,30,0,0.0
confirmatory,A,module,purchasing,30,0,0.0
confirmatory,A,module,sales,90,0,0.0
confirmatory,A,module,tasks,30,0,0.0
confirmatory,B,module,billing,30,18,0.6
confirmatory,B,module,contacts,30,30,1.0
confirmatory,B,module,crm,90,48,0.5333333333333333
confirmatory,B,module,inventory,30,18,0.6
confirmatory,B,module,product,30,0,0.0
confirmatory,B,module,purchasing,30,27,0.9
confirmatory,B,module,sales,90,18,0.2
confirmatory,B,module,tasks,30,27,0.9
confirmatory,C,module,billing,30,27,0.9
confirmatory,C,module,contacts,30,15,0.5
confirmatory,C,module,crm,90,69,0.7666666666666667
confirmatory,C,module,inventory,30,27,0.9
confirmatory,C,module,product,30,30,1.0
confirmatory,C,module,purchasing,30,27,0.9
confirmatory,C,module,sales,90,45,0.5
confirmatory,C,module,tasks,30,12,0.4
confirmatory,A,risk_class,R0,90,0,0.0
confirmatory,A,risk_class,R1,180,0,0.0
confirmatory,A,risk_class,R2,60,0,0.0
confirmatory,A,risk_class,R3,30,0,0.0
confirmatory,B,risk_class,R0,90,72,0.8
confirmatory,B,risk_class,R1,180,114,0.6333333333333333
confirmatory,B,risk_class,R2,60,0,0.0
confirmatory,B,risk_class,R3,30,0,0.0
confirmatory,C,risk_class,R0,90,63,0.7
confirmatory,C,risk_class,R1,180,114,0.6333333333333333
confirmatory,C,risk_class,R2,60,60,1.0
confirmatory,C,risk_class,R3,30,15,0.5
confirmatory,A,label,ADVERSARIAL,57,0,0.0
confirmatory,A,label,NOISE,111,0,0.0
confirmatory,A,label,NORMAL,192,0,0.0
confirmatory,B,label,ADVERSARIAL,57,9,0.15789473684210525
confirmatory,B,label,NOISE,111,45,0.40540540540540543
confirmatory,B,label,NORMAL,192,132,0.6875
confirmatory,C,label,ADVERSARIAL,57,33,0.5789473684210527
confirmatory,C,label,NOISE,111,75,0.6756756756756757
confirmatory,C,label,NORMAL,192,144,0.75
real_parser,A,module,billing,30,0,0.0
real_parser,A,module,contacts,30,0,0.0
real_parser,A,module,crm,90,0,0.0
real_parser,A,module,inventory,30,0,0.0
real_parser,A,module,product,30,0,0.0
real_parser,A,module,purchasing,30,0,0.0
real_parser,A,module,sales,90,0,0.0
real_parser,A,module,tasks,30,0,0.0
real_parser,B,module,billing,30,21,0.7
real_parser,B,module,contacts,30,30,1.0
real_parser,B,module,crm,90,45,0.5
real_parser,B,module,inventory,30,18,0.6
real_parser,B,module,product,30,0,0.0
real_parser,B,module,purchasing,30,27,0.9
real_parser,B,module,sales,90,18,0.2
real_parser,B,module,tasks,30,15,0.5
real_parser,C,module,billing,30,24,0.8
real_parser,C,module,contacts,30,15,0.5
real_parser,C,module,crm,90,63,0.7
real_parser,C,module,inventory,30,21,0.7
real_parser,C,module,product,30,27,0.9
real_parser,C,module,purchasing,30,24,0.8
real_parser,C,module,sales,90,42,0.4666666666666667
real_parser,C,module,tasks,30,12,0.4
real_parser,A,risk_class,R0,90,0,0.0
real_parser,A,risk_class,R1,180,0,0.0
real_parser,A,risk_class,R2,60,0,0.0
real_parser,A,risk_class,R3,30,0,0.0
real_parser,B,risk_class,R0,90,72,0.8
real_parser,B,risk_class,R1,180,102,0.5666666666666667
real_parser,B,risk_class,R2,60,0,0.0
real_parser,B,risk_class,R3,30,0,0.0
real_parser,C,risk_class,R0,90,54,0.6
real_parser,C,risk_class,R1,180,105,0.5833333333333334
real_parser,C,risk_class,R2,60,57,0.95
real_parser,C,risk_class,R3,30,12,0.4
real_parser,A,label,ADVERSARIAL,57,0,0.0
real_parser,A,label,NOISE,111,0,0.0
real_parser,A,label,NORMAL,192,0,0.0
real_parser,B,label,ADVERSARIAL,57,9,0.15789473684210525
real_parser,B,label,NOISE,111,45,0.40540540540540543
real_parser,B,label,NORMAL,192,120,0.625
real_parser,C,label,ADVERSARIAL,57,30,0.5263157894736842
real_parser,C,label,NOISE,111,54,0.4864864864864865
real_parser,C,label,NORMAL,192,144,0.75
